"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 19 16:13:10 IST 2021","Mon Apr 19 16:13:10 IST 2021","1","Suite1","Regression1","api.tests.PromotionsTests","api.tests.PromotionsTests","testPromotionIdValueInstance","testPromotionIdValueInstance","Verifying promotionId contains any String value"
"passed","Mon Apr 19 16:13:10 IST 2021","Mon Apr 19 16:13:10 IST 2021","4","Suite1","Regression1","api.tests.PromotionsTests","api.tests.PromotionsTests","testJSONBooleanValues","testJSONBooleanValues","Verifying showPrice / showText values"
"passed","Mon Apr 19 16:13:10 IST 2021","Mon Apr 19 16:13:10 IST 2021","5","Suite1","Regression1","api.tests.PromotionsTests","api.tests.PromotionsTests","testProgramTypeValue","testProgramTypeValue","Verifying programType values"
"passed","Mon Apr 19 16:13:10 IST 2021","Mon Apr 19 16:13:10 IST 2021","1","Suite1","Regression1","api.tests.PromotionsTests","api.tests.PromotionsTests","testResponseStatusCodeWithInvalidKey","testResponseStatusCodeWithInvalidKey","Verifying status code of API response with invalid Key"
"passed","Mon Apr 19 16:13:10 IST 2021","Mon Apr 19 16:13:10 IST 2021","1","Suite1","Regression1","api.tests.PromotionsTests","api.tests.PromotionsTests","testJSONKeys","testJSONKeys","Verifying few jsonKey are present in response"
"passed","Mon Apr 19 16:13:10 IST 2021","Mon Apr 19 16:13:10 IST 2021","253","Suite1","Regression1","api.tests.PromotionsTests","api.tests.PromotionsTests","testJSONKeyPromotions","testJSONKeyPromotions","Verifying 'promotions' key is present in response code"
"passed","Mon Apr 19 16:13:09 IST 2021","Mon Apr 19 16:13:09 IST 2021","56","Suite1","Regression1","api.tests.PromotionsTests","api.tests.PromotionsTests","testCodeForInvalidKey","testCodeForInvalidKey","Verifying code of API response with invalid Key"
"passed","Mon Apr 19 16:13:10 IST 2021","Mon Apr 19 16:13:10 IST 2021","1","Suite1","Regression1","api.tests.PromotionsTests","api.tests.PromotionsTests","testValidResponseStatusCode","testValidResponseStatusCode","Verifying status code of API response with Valid Key"
"passed","Mon Apr 19 16:13:10 IST 2021","Mon Apr 19 16:13:10 IST 2021","25","Suite1","Regression1","api.tests.PromotionsTests","api.tests.PromotionsTests","testMessageForInvalidKey","testMessageForInvalidKey","Verifying message of API response with invalid Key"
"passed","Mon Apr 19 16:13:10 IST 2021","Mon Apr 19 16:13:10 IST 2021","26","Suite1","Regression1","api.tests.PromotionsTests","api.tests.PromotionsTests","testRequestIDNotNull","testRequestIDNotNull","Verifying request id is not null"
"passed","Mon Apr 19 16:13:10 IST 2021","Mon Apr 19 16:13:10 IST 2021","9","Suite1","Regression1","api.tests.PromotionsTests","api.tests.PromotionsTests","testLocalizedTextsKey","testLocalizedTextsKey","Verifying localizedTexts has both en / ar keys"
